对冲9号周收益率,CTA周收益率
-0.0014755663570868993,-0.013866480540374426
0.0059979137691237305,0.0025186208483738426
0.0012961202799619542,-0.0050541160808013075
-0.0030203658957542734,-0.010573145430813224
0.013329871029170048,0.011502571212616886
-0.0027334073631161138,0.011740385625857774
-0.0024839400428264824,-0.005420660755427242
0.011076764554353247,0.001594775844058649
-0.0005095541401273218,0.009566102755098393
0.008666836604639405,-0.00040661011571974104
-0.0037065116670877973,0.00013069176548063943
0.009216200219835935,0.009318498261091879
-0.004524128686327122,0.0008797325580158777
-0.008331930651405473,0.0023392267845177006
0.0012730204531954392,0.02109500972580891
-0.0004238006441769082,0.010146186819608216
0.00016959213092504477,0.0064570321114996165
0.01263247138618051,-0.001169080035306358
0.004186202277294049,0.007855776458127073
-0.0023345005836250543,-0.0026903931950037485
0.0023399632291492,0.010852343915281448
-0.007337001834250345,0.011012993056916276
0.0053754409541406645,0.006042410982123325
-0.0005847953216375767,-0.008883681240481112
-0.0010030928696813657,0.0018255351954992172
0.005355200401639948,-0.00034935235607025383
0.004078235538909514,-0.001838980531337242
-0.0013262599469494596,-0.008018952041834893
0.00282204515272233,0.003527912199196681
0.0031451746399602243,-0.0022130249769548582
0.002805280528052956,0.008011597861173003
0.006417640283034487,0.010054499186819221
0.008665794637017665,-4.7002030334586387e-05
0.0008915545469283526,0.011645951114856778
0.005911409830755332,0.013413505181240959
0.0008050233456771139,0.020482470463406788
0.005148005148005064,-0.005156137749249501
0.002480793854033214,-0.004886187271858189
0.005268619781272577,-0.0033139787020816103
0.006988009211466695,-0.004155019420925776
0.004021764845043796,-0.0078049709686313085
-0.007854225573358464,-0.006164313541648592
0.012191260291323447,-0.0020877597358593958
0.001407789770061063,-0.008193621027881015
-0.008434864104967188,-0.0014276474451515586
0.015437933207309351,-0.018146162375928476
0.004809183990071464,-0.0006336975907078601
-0.0016211208893007756,0.004716724290810159
0.0040207221835615314,0.0060658933856780894
-7.701193685016872e-05,0.003763250999450074
0.007547751078250231,-0.0027053730484030147
0.00343984100290462,0.002274042434717405
-0.0011426830197304172,-0.00472792938261557
0.0023642464917632555,0.0023066298153964215
0.0015217225899717413,0.00718330310714288
-0.0009876168046798472,-0.0035240916549105217
0.009125475285171047,0.0017062894542201335
-0.00030143180105501877,-0.0034384050709027614
-0.0022614201718678117,-0.0016994244713065543
0.0023420973103656095,0.0033137829184533008
-0.0029396246325469333,-0.01088418035476535
0.00241911097671621,-0.003874371896694706
-0.002187028657616996,0.004986446494901209
0.009447509636459905,-0.0004009645893127134
0.002845163222521707,0.0014218233519531775
-0.0001493205913095652,0.0014141829817486684
0.0020161290322582293,0.00020871436340663685
0.005365526492286943,0.006351600022941106
0.0007412348973390159,0.005691052075889491
0.0019998518628250306,0.0025516997744252645
-0.00014784151389712896,0.016963099751206467
-0.0027354724234807115,-0.0007546296114987472
0.0022981688783454413,-0.0022858038897186628
